;Decoder_Name;Decoder_Description;Manufacturer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TrafficLight;Декодер «TrafficLight» предназначен для управления светофорами на DCC макете.;Modelldepo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CV;Name;description;read_only;min_val;min_val_desc;max_val;max_val_desc;dfl_val;bits_en;bit0_desc;bit0_0_desc;bit0_1_desc;bit1_desc;bit1_0_desc;bit1_1_desc;bit2_desc;bit2_0_desc;bit2_1_desc;bit3_desc;bit3_0_desc;bit3_1_desc;bit4_desc;bit4_0_desc;bit4_1_desc;bit5_desc;bit5_0_desc;bit5_1_desc;bit6_desc;bit6_0_desc;bit6_1_desc;bit7_desc;bit7_0_desc;bit7_1_desc
6;Версия ПО (цифра 3);Младшая (третья) цифра версии софта;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Версия ПО (цифра 1 и 2);Версия софта в шестнадцатеричном формате. 19h (25десятич.) означает версию 1.9;1;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
8;Код производителя;;1;;;;;255;0;;;;;;;;;;;;;;;;;;;;;;;;
10;Напряжение на выходе №1;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
11;Напряжение на выходе №2;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
12;Напряжение на выходе №3;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
13;Напряжение на выходе №4;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
14;Напряжение на выходе №5;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
15;Напряжение на выходе №6;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
16;Напряжение на выходе №7;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
17;Напряжение на выходе №8;Определяет яркость горения светодиода или лампы, подключенной к этому выходу;0;0;выкл;128;100%;128;0;;;;;;;;;;;;;;;;;;;;;;;;
18;Скорость вкл./выкл. выхода №1;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
19;Скорость вкл./выкл. выхода №2;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
20;Скорость вкл./выкл. выхода №3;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
21;Скорость вкл./выкл. выхода №4;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
22;Скорость вкл./выкл. выхода №5;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
23;Скорость вкл./выкл. выхода №6;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
24;Скорость вкл./выкл. выхода №7;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
25;Скорость вкл./выкл. выхода №8;Чем меньше значение тем быстрее будет разгораться/тухнуть светодиод или лампа, подключенная к этому выходу;0;1;мгновенно;255;очень медленно;20;0;;;;;;;;;;;;;;;;;;;;;;;;
